venue,team,city,to_email,cc_emails,notes
HLP Galleria,Leasing & Business Development Team,Mohali,,,"Named target — CC leasing managers in cc_emails, separated by ;"
Bestech Square Mall,Leasing Team,Mohali,,,""
North Country Mall,Leasing Team,Mohali,,,""
Elante Mall,Leasing & Retail Team,Chandigarh,,,""
VR Punjab,Leasing Team,Mohali,,,""
Paras Downtown Square,Leasing Team,Zirakpur,,,""
Gillco Towers,Leasing Team,Mohali,,,""
Sushma Downtown,Leasing Team,Zirakpur,,,""
